MEE140,1,0,0,존중과배려,프라임 차한잔,ME,E1,40,/bbs/list.asp?major=ME&minor=E1&master_id=40,0
MEE1179,1,0,0,존중과배려,해외 구매,ME,E1,179,/bbs/list.asp?major=ME&minor=E1&master_id=179,0
MEE1172,1,0,1,존중과배려,시사/정치/종교,ME,E1,172,/bbs/list.asp?major=ME&minor=E1&master_id=172,0
MEE1173,1,0,2,존중과배려,분노게시판,ME,E1,173,/bbs/list.asp?major=ME&minor=E1&master_id=173,0
MEE1163,1,0,3,존중과배려,못 웃기면 맞는다,ME,E1,163,/bbs/list.asp?major=ME&minor=E1&master_id=163,0
MEE1193,1,0,4,존중과배려,연예뉴스,ME,E1,193,/bbs/list.asp?major=ME&minor=E1&master_id=193,0
MEE1195,1,0,5,존중과배려,맛집/요리(봄다방),ME,E1,195,/bbs/list.asp?major=ME&minor=E1&master_id=195,0
MEE1175,1,0,6,존중과배려,English/日本語,ME,E1,175,/bbs/list.asp?major=ME&minor=E1&master_id=175,0
MEE150,1,0,7,존중과배려,DP 친목/오프모임,ME,E1,50,/bbs/list.asp?major=ME&minor=E1&master_id=50,0
MEE1127,1,0,8,존중과배려,어른들이야기,ME,E1,127,/bbs/list.asp?major=ME&minor=E1&master_id=127,1
MEE1180,1,1,9,취미,프라임 그늘집,ME,E1,180,/bbs/list.asp?major=ME&minor=E1&master_id=180,0
MEE141,1,1,10,취미,카메라 그리고 사진,ME,E1,41,/bbs/list.asp?major=ME&minor=E1&master_id=41,0
MEE1205,1,1,11,취미,노래/악기연주/밴드!,ME,E1,205,/bbs/list.asp?major=ME&minor=E1&master_id=205,0
MEE1182,1,1,12,취미,여행을 떠나요,ME,E1,182,/bbs/list.asp?major=ME&minor=E1&master_id=182,0
MEE1149,1,1,13,취미,책 이야기,ME,E1,149,/bbs/list.asp?major=ME&minor=E1&master_id=149,0
MEE1185,1,1,14,취미,클럽 RPM,ME,E1,185,/bbs/list.asp?major=ME&minor=E1&master_id=185,0
MEE1142,1,1,15,취미,All That Game,ME,E1,142,/bbs/list.asp?major=ME&minor=E1&master_id=142,0
MEE1196,1,1,16,취미,조립식 프라임,ME,E1,196,/bbs/list.asp?major=ME&minor=E1&master_id=196,0
MEE1164,1,1,17,취미,아웃도어 스포츠,ME,E1,164,/bbs/list.asp?major=ME&minor=E1&master_id=164,0
MEE3194,1,2,18,중고 장터,블루레이/HD dvd,ME,E3,194,/bbs/list.asp?major=ME&minor=E3&master_id=194,0
MEE351,1,2,19,중고 장터,DVD타이틀,ME,E3,51,/bbs/list.asp?major=ME&minor=E3&master_id=51,0
MEE353,1,2,20,중고 장터,프로젝터/홈씨어터,ME,E3,53,/bbs/list.asp?major=ME&minor=E3&master_id=53,0
MEE357,1,2,21,중고 장터,그냥 드립니다,ME,E3,57,/bbs/list.asp?major=ME&minor=E3&master_id=57,0
